bodyId,hemibrain_type,cell_type,neurotransmitter,outgoing_edges,outgoing_synapses,outgoing_mean_synapses,outgoing_median_synapses,outgoing_max_synapses,outgoing_synapse_sd,incoming_edges,incoming_synapses,incoming_mean_synapses,incoming_median_synapses,incoming_max_synapses,incoming_synapse_sd,total_edges,total_synapses,outgoing_incoming_edge_ratio,outgoing_incoming_synapse_ratio
481268653,M_vPNml89,DM3_vPN,gaba,109,257,2.3577981651376145,1.0,21,2.9424194371419374,31,39,1.2580645161290323,1.0,4,0.6815542010964778,140,296,3.5161290322580645,6.589743589743589
1694850602,M_vPNml89,DM3_vPN,gaba,145,305,2.103448275862069,1.0,15,2.244512251925159,29,45,1.5517241379310345,1.0,9,1.7234974179712872,174,350,5.0,6.777777777777778
1819326555,M_vPNml89,DM3_vPN,gaba,98,223,2.2755102040816326,2.0,18,2.482020345351779,28,30,1.0714285714285714,1.0,2,0.26226526415648105,126,253,3.5,7.433333333333334
850375847,VA1d_adPN,VA1d_adPN,acetylcholine,367,3368,9.177111716621253,3.0,79,13.858327647553248,303,2365,7.805280528052806,4.0,145,11.495969859784337,670,5733,1.2112211221122111,1.4241014799154335
1851061177,VA1d_adPN,VA1d_adPN,acetylcholine,449,4128,9.193763919821826,3.0,106,13.872678581459978,309,2892,9.359223300970873,5.0,156,13.240670105750901,758,7020,1.4530744336569579,1.4273858921161826
5813055162,VA1d_adPN,VA1d_adPN,acetylcholine,418,3875,9.270334928229666,3.0,106,12.82762046873667,306,2530,8.267973856209151,5.0,156,11.721638410598686,724,6405,1.3660130718954249,1.5316205533596838
1888524453,VA1d_vPN,VA1d_vPN,gaba,260,853,3.2807692307692307,2.0,30,4.327564451029478,207,1364,6.5893719806763285,2.0,48,8.557088873678167,467,2217,1.2560386473429952,0.625366568914956
1788300760,VA1v_adPN,VA1v_adPN,acetylcholine,391,2858,7.309462915601023,2.0,75,10.393730233767815,362,2515,6.947513812154696,4.0,116,9.166360690971265,753,5373,1.080110497237569,1.1363817097415507
5813024601,VA1v_adPN,VA1v_adPN,acetylcholine,501,3142,6.271457085828343,2.0,57,9.157410314748091,376,2904,7.723404255319149,4.0,116,10.344626178849671,877,6046,1.3324468085106382,1.0819559228650137
5813054697,VA1v_adPN,VA1v_adPN,acetylcholine,441,2935,6.655328798185941,2.0,66,9.64266206846667,367,2602,7.08991825613079,4.0,105,9.27892504513856,808,5537,1.2016348773841963,1.127978478093774
856071065,VA1v_vPN,VA1v_vPN,gaba,315,1381,4.3841269841269845,2.0,65,7.501702701608093,288,1833,6.364583333333333,3.0,85,9.189586355585305,603,3214,1.09375,0.7534097108565194
887105351,VA1v_vPN,VA1v_vPN,gaba,315,1183,3.7555555555555555,1.0,80,7.329848621966782,268,2038,7.604477611940299,3.0,94,10.884148978079315,583,3221,1.1753731343283582,0.5804710500490677
1977579449,VA2_adPN,VA2_adPN,acetylcholine,941,10412,11.064824654622742,5.0,256,17.286295324899644,638,6296,9.86833855799373,2.0,97,14.542685529702231,1579,16708,1.474921630094044,1.653748411689962
1889253785,VA3_adPN,VA3_adPN,acetylcholine,543,4955,9.125230202578269,4.0,99,11.404463127941488,296,2978,10.06081081081081,2.0,78,15.998612800607026,839,7933,1.8344594594594594,1.6638683680322364
5813055025,VA3_adPN,VA3_adPN,acetylcholine,582,5103,8.768041237113403,3.0,106,11.371044966339888,347,3297,9.501440922190202,2.0,90,17.20000918130039,929,8400,1.6772334293948126,1.5477707006369428
1630051981,VA4_lPN,VA4_lPN,acetylcholine,688,8027,11.667151162790697,6.0,181,16.262976125376156,408,3538,8.67156862745098,2.0,138,14.391677075036597,1096,11565,1.6862745098039216,2.2687959299039004
574032862,VA5_lPN,VA5_lPN,acetylcholine,389,3028,7.784061696658098,4.0,51,8.984502863682776,257,1953,7.599221789883268,2.0,101,15.574382993943072,646,4981,1.5136186770428015,1.5504352278545828
